dataset;session;speaker;utterance
Dezeentranscripts;fabio_novembre_virtual_design_festival;Interviewer;Hey, hello, Fabio, can you hear me? So why are you here? How you doing? Very good. Good to see you. You too. Are you completely change your look, since I last saw you what.
Dezeentranscripts;fabio_novembre_virtual_design_festival;Fabio Novembre;we're testing for Narcos, you know. So, I was trying to get into the character, a drug lord. And I was thinking about, you know, I could be I could possibly the perfect casting.
Dezeentranscripts;fabio_novembre_virtual_design_festival;Interviewer;I recognize where you are you in your house in Milan, right? Yeah. Yeah. Sammy today. And you have a guitar. So why don't you play something for us, but as long as it doesn't have a copyright, you'd want to get into trouble?
Dezeentranscripts;fabio_novembre_virtual_design_festival;Fabio Novembre;I will, I will play it when when we speak on it, I think it's good as a background music, you know, I will want to work on soundtracks.
Dezeentranscripts;fabio_novembre_virtual_design_festival;Interviewer;So tell us how the last few months been for you in Milan.
Dezeentranscripts;fabio_novembre_virtual_design_festival;Fabio Novembre;Um, you know, Milan, in the last month has been quite strange. But like, all over the world, in some ways, you know, I mean, it's like, we have been locked down in our houses for more than three months, and he never happened on the surface of this planet, more than half of the population has been in these conditions, it's, it's been a very interesting time. I mean, apart from all the disaster and people that died, and we're very sorry for that, but, but it gave us a chance for a possible green a sense in some ways with to completely reset. And we think about the way we we love people, to people surround us, I mean, what's really important what, what really matters, and coming to design, also to in some ways to mirror ourselves, in the places where we leave, for example, I realized the 3d these hours, perfectly represents me, I live very well inside this place. But because I really built it as, as a mirror, it's something that really would represent myself. But this is not very common, I would say, because lots of people that I was talking to, they were saying, Oh my god, I feel imprisoned in displays, you know, I can't breathe, you know, and that's something very interesting goes. houses have always been very much representing, you know, the, the landlord, the people that leaves in it, but now more and more we use them like hotel rooms, or, you know, what I mean is like, for me, it's a very good way, it's very good chance to rethink about our relationship with our own private places. Also, you know, let's talk about this networking thing, you know, I mean, we have to probably transform our home, into our office as well. So it has to be also interpreted on different points of view. I mean, it really gave us a lot to think about a lot to work about, you know, in the future in the near future. Basically, you know, I was this morning with some friends that we were saying, the problem with battalions, is that we consider public space is no man's land, you know, this, this got interesting. Now, I mean, we, we have a lot of affection for our own private places, but we cannot relate to public space, because public spaces of everybody, and we don't have an idea of community. So that, I would say that if we really want a real Renae sense, we should start from house, we should start from our home. But then adapt the concept. The surrounding is like a stone in, in the water, you know, like circles that get bigger and bigger and more and more inclusive. You know, I really would say that if we want to change things, we should go in the streets. I mean, when I when I've been living two years in New York, you know, I was looking at the, the homeless in the streets sitting on sofas, and I was thinking, oh my god, these people, they really own the city. They're sitting comfortably on a sofa, watching the environment. I mean, they really own the city, you know, we feel like the public space doesn't belong to us. He does, we should go back into the streets. Trying to have a sense of adopting places you know, so even if there is some garbage on the on the ground, actually grab it and throw it in the garbage can, you know, I mean, he's like that. It's like adopting the same behavior as I do in my whole house. You know, that's, that's a very important concept, especially for people like as I mean, we work with the with space, we whether we public space with private space, we should think about the basis of what we do. I mean, that that's really something that affects me a lot.
Dezeentranscripts;fabio_novembre_virtual_design_festival;Interviewer;So we're here to talk about the work Keep them with Lorenzo. How'd you How'd you know hands? When did you first meet? Do you remember the time we went together to see hands, by the way in Ventura brought to you took me on your scooter. And they had the big blue gun.
Dezeentranscripts;fabio_novembre_virtual_design_festival;Fabio Novembre;I'm thinking at how many years ago because he invited me to one of to a conference that he was hosting. And how many years ago? Was it? Something like more than 20. Right? And how many? It was 2000 2000 years ago, 20 years ago? Exactly. it you know, I mean, I received this invitation from, from Atlanta, it's already at the time was, you know, a very important business man in the field. And I was, I was excited. And I was proud of this invitation. And I went there. And the, you know, beside the businessman, I met the band. And the we're best friends, Mark was really our best friend. I mean, I love him hands. He's one of the most generous person I've ever met. And I mean, I'm friends with this family. I mean, I love this man. So that working with them has been just the evolution of a relationship. I mean, it's like, it's not been like, gives me a brief and the developer brief. Actually, nothing in my life is that way, everything gets very personal. I always like to be involved very personally. I mean, I, I'm not called. It's really, really, it's really hard to to keep these tests with things and with people. And so everything has been a beautiful evolution, you know, his personal history. I remember I introduced him to Marcel, and it together with Marcel he made the Moy that we know. Because more in the very beginning was a completely different thing. And, and lots of things. I mean, we have seen his kids from this height to, to taller than me, you know, I mean, like, family. It's family. And it's any Italian. I know what I'm talking about.
Dezeentranscripts;fabio_novembre_virtual_design_festival;Interviewer;So Hans, what's your version of the story? Maybe? No, maybe now's the time to show the the slideshow?
Dezeentranscripts;fabio_novembre_virtual_design_festival;Hans Lensvelt;Yes, yes. Yes. Yes. Yes. This I will put a weight into this. So this actually, but now you cannot see it, I guess. Oh,can you see this? Not yet? Not yet. Oh, my God, because then I did this apple pie. Okay, maybe maybe like this. Yeah, starting to work now. Okay, Devin, I.have to do like this. Okay. So this is the gallery here in Amsterdam. And this gallery is now dedicated to a few artists. One of the artists is muscle one. Not Excuse me, is you Felicia, on the left hand side, this is a deck, an enormous deck I want to put in front of my decks, because I was interrupted 10 times in a day with silly questions. And then I thought, okay, let's put this thing on the other side of my desk, so that when people want to speak with me, they have to climb over this desk, and then they see themselves in the mirror behind me next to next Tuesday. I know. So at the top of this deck, that's one piece. The other piece piece you see is a piece designed by Fabio. And as we are friends for more than 20 years. Finally, we succeeded into having a product together again, that makes makes me really very, very happy. Then, this is a picture made in November 2000. s Fabio just said family audit the lecture for me for something like 2000 people and the day after five your state and he said, You know I'm working for capellini Maxwell Wallace is also working for a couple you name it, I would like to meet him. And in those days, there was there was not all the technical things you have now. So I called an agency for the telephone number of the studio. I call the studio there was a lady and I said can I have lunch tomorrow with Marcel and with Fabio and she go back and she set it out that's fine. And we add the spoons in the Japanese restaurant or cuca in Amsterdam and this is one of the pictures for Fortunately, I made because this was an enormous step in my career. I know muscle windows through Fabiano fama. And since that moment, Fabio, we all wait stay Trent friend. When I visited you, we sat together we had dinners. And when you came in Amsterdam, we drove around. We organized dinners. This is one of the dinners here in Amsterdam. And about the friendship of Fabio. In 2080, I married I decided that it was time to marry with swan. And for me, it was clear that only one person. So as he said only Italians know something about family that I decided to ask Fabio is my best man. And this is when I saw all the channels in Amsterdam, Fabio that morning. And you know, you can see how extremely happy that we are. But Fabio also brought an incredible present. And you can see all those scarfs and you can see the shovel spec packed with people. So we arrived with the boat back from the city hall. And then in front of the benches. There were lots of peoples with this colored scarves. And normally that are the colors of IX, the football team from Amsterdam. So I thought that are the people that are the hooligans of AI x. But then later on I found out that people visiting visiting my, my marriage, so that was totally, totally great. Yes. Okay, that about Fabio and me now about the cooperation. So as I told when I was in Milan, I visit always, Fabio, I always sleep in his guest house. And in this period, a fortune. It was in December 2014. Fabio had to go outside the country for a lecture. And I had dinner and film with all his crew. And.they said, How can you do a presentation for us what actually mansfeld is doing for us. And that's what I did. And I showed all the workers, all the designers we worked with. But the final thing, the final slide where the fuck is fab uniform, okay, it was my intention to work for 20 years with Fabio and I was never able. And with those people, I expressed this, this this wish. And this is only in December, and fabric came back and he said house actually is a great idea. That's what I like as well. And so it's all started and only a few months later. It is in April, we presented this so far called New Balance. Of course, things are changing. Lives are changing private labor to set changing careers are changing. We have COVID we have black lives matter. Everything is changing. And this so far, is a symbol of it. This without people this so far here was the master himself on it. Those pictures are made in Milan, in the Venturi centrala and here a film photo as most of the photos are with this all together. We chose this so far. Also in Eindhoven during the Design Week. Your user who you see on the left hand side isn't respected Dutch journalist writing about architecture and design. I have a range of interviews with your own you hoon. So we always invite two designers, and one of the designers gets the nasty questions. And the other designer gets the nice questions. for him. It's a certain kind of platform. And so here we have Fabio and the other person we divided is liable when I re Like baiga laga, once he is making his very special and really have this moment in time, it's always in the right proportions. And that in combination with the right materials, the calculus, it was it This made a really upgrade, appreciate. So that's why we also invited Lanka for this for this for this interview. And this is how Fabio appears. It's always interesting. Fabio includes always a special gift, the guitar today, but here, this T shirt, Who the fuck is far, far bigger. And Fabio, maybe you later can explain something about t shirt, because it has to do with the Rolling Stones. We cannot play songs of the Rolling Stones. But maybe we can we can do this. Okay, then here, the product what we developed together found in all different colors. As I said this called New Balance, Fabio now things are changing. And we all are getting more in balance at this main ambition to develop a second generation of this and to call it not balance, but to call it in balance or just balance. I think people people like that as well. And then two more slides to go. I would like to go back to this slide where Fabio the three of us met for the first time myself on this house Lynn Shelton Fabiano family. And now the final the final slide is more or less this site. This is a few weeks ago, at the end of last week, and they will see you again in the same order. Marcel me. And for me, it's so fantastic that 20 years of our life has passed, and that we are still such good friends. That's for me. So what Phil? And that's it. Yeah. Thanks. Do you wanna unshare the screen? Oh, I have an epic I get like this. I'm getting very professional in these all.
