dataset;session;speaker;utterance
Dezeentranscripts;ilse_crawford_virtual_design_festival;Interviewer;Hey, Elsa. I'm Marcus. How are you? Good. Thank you. And you.  I'm good. I'm very hot. I'm in. I'm back in the design office, because it's too noisy to work at home at the moment. And it's absolutely baking. Yeah. I recognize where you are, though.
Dezeentranscripts;ilse_crawford_virtual_design_festival;Ilse Crawford;Yeah, my bedroom. So you shouldn't recognize it that much. I'm saying the base of your house that I've actually been to, I know, there are some columns that you will recognize. But what you will also hopefully recognize is my most precious possession in the material world, which is a large piece of barkcloth, which was made by the Bureau Berlin, who were former students. And it's just fantastic. You know, it's it's an old thing. That's a new thing. No, that older than textile. But you know, probably the most beautiful new thing I can think of, is that the thing hanging in the background? Yeah, it's fantastic. So what is it it's cloth made of bark? Yeah. So it's an old technique. It was actually landed his graduation project at the design Academy Eindhoven. So basically, you know, older than textile is hammered bark. And this was a project she did in Tonga. And then, with a sort of sleight of hand it is then had you say sort of machine stitched with a kind of cross stitch to basically hold it together forever, sort of thing. So it's this sort of modern and modern Jacquard, if you like, on a really ancient piece of bark. It's a fantastically beautiful thing.
Dezeentranscripts;ilse_crawford_virtual_design_festival;Interviewer;So anyway, also welcome to today's live interview, as part of our collaboration with brown. earlier on, we were talking to Benjamin Peter and Peter from Brown about the theme, which is good time design, in times for chain times of change. But why are you here today, as part of this brand collaboration, what's the connection?
Dezeentranscripts;ilse_crawford_virtual_design_festival;Ilse Crawford;I have very recently, so it is brand new, so too early to describe in detail, but been asked to work with brown and the brown team to develop a series of master classes based on the brand principles that eat around principles, you know, such as built to last simple, etc. But to really explore those for young design interested audience and see their relevance really, for today as a way of thinking rather than an aesthetic mean, rather, as Peter was saying, you know, it's not about looking at things stylistically, it's about looking at the principles that go behind the thing that lead to a certain response to the world.
Dezeentranscripts;ilse_crawford_virtual_design_festival;Interviewer;And that's literally something that's just been established in the last few days. Is it that those those master plans?
Dezeentranscripts;ilse_crawford_virtual_design_festival;Ilse Crawford;Yeah, I mean, we're working on it. So that as of now, but I think it's a really interesting topic, because I think, me certainly one of the things that you probably know only too well is that I think, my view is that design is too often treated as a noun and not a verb. You know, it is a process of going from realities of ideas of needs. It's joining many, many dots, and then synthesizing those into new realities that make sense. And it's an extraordinary discipline, I think, because it's one of the few that can go from the philosophical to the tangible. And, you know, whether we are aware of it or not, actually, you know, at times like this design is a hugely important tool for having agency over the world that will happen as part of teams not on our own. I mean, we have to be careful of overstating our case. But I think as part of teams, I think we're really valuable. Because we can help, I think, be a bridge between ideas and reality, make values visible, if you like.
Dezeentranscripts;ilse_crawford_virtual_design_festival;Interviewer;And this is the first time you've worked with a sort of a hardware company, a technology driven company, like Brian, I know you've done some lighting collaborations, but you're best known of course, for your interior work and, and the kind of the mood that you create and the craftsmanship and the whole well being approach. So where does your subset of design overlap the brown subset of design, would you say?
Dezeentranscripts;ilse_crawford_virtual_design_festival;Ilse Crawford;I think that it depends on what your definition of technology is, doesn't it? I mean, if you talk about technology being a bridge to the future You know, whatever medium that might be, then I think the thought processes, you know, obviously, with different contexts are not dissimilar because I mean, in some ways, what I do as an interior designer, is, you could argue quite technical because you're looking at him, I mean, if you're, let's say, looking at a hotel, or even an airport lounge, you're looking at the, you know, the practical needs, the operational needs, the needs throughout the day, the needs throughout the year, you're mashing all of these things together. And very often, technology plays an important part in that to me certainly does in the context of an airport land. And how do you integrate those into physical space? So it's that mass of information that you have to make sense of and synthesize and then find the most simple, intuitive response, which I think is in a way, a very similar process. But obviously, the context that skill sets are different, but I think the approach is not entirely different. Are you hearing some pinging? I think that might be me. in me, actually, hold on.
Dezeentranscripts;ilse_crawford_virtual_design_festival;Unknown Speaker;I'm using a different computer to normal, but.
Dezeentranscripts;ilse_crawford_virtual_design_festival;Ilse Crawford;I think it's all my technology, which is your emails open? Sounds like an Apple Mail notification. Yes. Be a lot of those. Let's throw down it all. Ah, okay. Sorry about that, guys.
