dataset;session;speaker;utterance
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Interviewer;Hello, hi, yo. So welcome to the third part of our collaboration with Lensvelt today as part of virtual design festival. You - Where are you speaking to us from?
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Joep van Lieshout;Ehm I'm talking from my studio. This is like the boardroom of my studio. So normally I'm downstairs working, creating stuff. And but today, I'm here.
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Interviewer;I'And you're in Rotterdam, right? Yeah, Rotterdam. Yes. Yeah. Tell us a little bit about yourself. Who are you? And what do you do?
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Joep van Lieshout;Well, I went to art school, in the beginning of the 80s. And actually, when I was in art school at the sculpture department, I started to make functional objects like machines, furniture, all kinds of stuff. And so to me, I was right from the beginning on I was like, transgressing the traditional borders of art. And I've been doing that since. And so I will not call myself a designer, or some that I'm an artist, but I also do architecture, I do design and, and I bought all the products I did with Hans, for example, they are all spring off of an art installation, that happened to be a good piece of furniture. And that's how we started.
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Interviewer;And we've met a few times, and we've done talks together. And what's extraordinary about your work is, as you said, you have these you have these art projects, but each each art project is kind of like a world in itself. Give us an example of the kind of worlds that you create.
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Joep van Lieshout;Well, an interesting one is called the new tribal lebrons, in which I was going - I - we invented the Industrial Revolution. So go back to the origin of our culture, of our wealth, and also the origin of let's say, industrial design and design as we know it now. So I started making a sawmill. So you can get trees into planks and beams to build houses and other kinds of buildings. One of the important ones is a blast furnace. So that's the kind of installation factory where you can make steel out of coal and iron ore. So I wanted to go back to the that origin to create to fabricate our own steel. And by that sense, also go back to very basic materials and, and products. So and then, of course, you had the people living in the blast furnace, you had new organisation of tribes, you had new rituals, new religion. So basically, I created the whole new parallel worlds of people that, you know, are very romantic, and want to become one with the industry of becoming one with the machine, instead of people going back to nature. That's it.
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Interviewer;And you create these worlds. And then from those worlds, you design furniture that can be used in those worlds. And then it goes into production. Lensvelt, for example. So Hans, tell us about your relationship with Joep, how long have you known each other? And how did you start to work together?
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Hans Lensvelt;So in the late 90s, in the media, we're looking at publications about the good, the bad, and the ugly. That was an insulation made by your party, Walker Art in Institute in Cincinnati. And, you know, this was a period of minimalism of multiple Savers, john Paulson, Jasper Morrison, Pat Alonzo, and so on. And the interior of this black house, what was a part of the installation was really fascinating me. And it was also minimalistic, but it was another form of minimalism. And so I decided to call the ugly and to make an appointment with Joep. And the question was you can we make a... Can we make something...  can we make a chair and a table of the concept what is inside the black house? And so actually, it all started.
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Interviewer;And what was the products that came out of that conversation?
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Hans Lensvelt;It is the shaker share, and I selected some slides. And it is one of those slides.
Dezeentranscripts;joep_van_lieshout_virtual_design_festival;Interviewer;Okay, why don't you show us the image is nothing.
